"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Puede eliminar un cupón de un grupo de cupones DNIsPago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsPago","encargadoFlujoGrupos.spec.ts","",""
"","0","Debe mostrar error si la contraseña es correcta pero el email incorrecto","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Tests del login","login.spec.ts","",""
"","0","Debe redirigir al select role si el login es exitoso","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Tests del login","login.spec.ts","",""
"","0","Puede agregar un vendedor existente al grupo y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Grupos de Vendedores","encargadoFlujoGrupos.spec.ts","",""
"","0","Debe mostrar modal al hacer clic en ""Olvide mi Contraseña""","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Tests del login","login.spec.ts","",""
"","0","Error cuando el email ya está registrado","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Registro de usuario","register.spec.ts","",""
"","0","Puede eliminar un cupón de un grupo de cupones DNI y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","encargadoFlujoGrupos.spec.ts","",""
"","1","Registro exitoso","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Registro de usuario","register.spec.ts","",""
"","3","Puede modificar el nombre del grupo de cupones DNI y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","encargadoFlujoGrupos.spec.ts","",""
"","0","Error cuando no se carga una imagen","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Registro de usuario","register.spec.ts","",""
"","0","Puede eliminar un grupo de cupones DNIsPago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsPago","encargadoFlujoGrupos.spec.ts","",""
"Verifica que se muestre un mensaje de error cuando se intenta crear un cupón DNI sin nombre","12242","Muestra error cuando no se ingresa el nombre del cupón de tipo DNI","chromium","Fri Aug 08 17:14:19 GMT-03:00 2025","failed","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > DNIs","encargadoFlujoCupones.spec.ts","",""
"","0","Error cuando no se ingresa email","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Registro de usuario","register.spec.ts","",""
"","0","Puede editar un cupón QR y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's","encargadoFlujoCupones.spec.ts","",""
"","0","Puede crear un nuevo cupón QR y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's","encargadoFlujoCupones.spec.ts","",""
"","0","Puede eliminar un cupón QR Pago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's Pago","encargadoFlujoCupones.spec.ts","",""
"","0","Puede editar un cupón QR Pago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's Pago","encargadoFlujoCupones.spec.ts","",""
"","0","Muestra error si no se ingresa nombre al modificar grupo de vendedores","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Grupos de Vendedores","encargadoFlujoGrupos.spec.ts","",""
"","0","Muestra error cuando no se ingresa el nombre del cupón QR Pago","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's Pago","encargadoFlujoCupones.spec.ts","",""
"","0","Puede eliminar un canjeador existente y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Roles > Gestión de Canjeadores","encargadoFlujoRoles.spec.ts","",""
"","0","Puede agregar un nuevo canjeador y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Roles > Gestión de Canjeadores","encargadoFlujoRoles.spec.ts","",""
"","0","Puede eliminar un grupo de vendedores y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Grupos de Vendedores","encargadoFlujoGrupos.spec.ts","",""
"","0","Puede eliminar un vendedor existente y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Roles > Gestión de Vendedores","encargadoFlujoRoles.spec.ts","",""
"","0","Puede eliminar un cupón DNI Pago y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > DNIsPago","encargadoFlujoCupones.spec.ts","",""
"","0","Debe mostrar error si no se ingresa la contraseña","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Tests del login","login.spec.ts","",""
"","0","Muestra mensaje si el supervisor ya posee el rol indicado","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Roles > Gestión de Supervisores","encargadoFlujoRoles.spec.ts","",""
"","0","Muestra error si no se ingresa nombre al modificar grupo de cupones DNI","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","encargadoFlujoGrupos.spec.ts","",""
"","0","Puede crear un grupo de vendedores y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Grupos de Vendedores","encargadoFlujoGrupos.spec.ts","",""
"","1","Puede crear un grupo de cupones DNI y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","encargadoFlujoGrupos.spec.ts","",""
"","0","Debe mostrar error si no se ingresa el email","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Tests del login","login.spec.ts","",""
"","0","Error cuando las contraseñas no coinciden","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Registro de usuario","register.spec.ts","",""
"","0","Puede agregar un nuevo supervisor y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Roles > Gestión de Supervisores","encargadoFlujoRoles.spec.ts","",""
"","0","Muestra error cuando no se ingresa el nombre del cupón QR","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > QR's","encargadoFlujoCupones.spec.ts","",""
"","0","Puede eliminar un cupón DNI y ver confirmación","chromium","Fri Aug 08 17:14:31 GMT-03:00 2025","skipped","Fri Aug 08 17:14:31 GMT-03:00 2025","Gestión de Cupones > DNIs","encargadoFlujoCupones.spec.ts","",""
