"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que se muestre un mensaje de error cuando se intenta crear un cupón DNI Pago sin precio o con precio cero","60124","Muestra error cuando no se ingresa un precio para el cupón de pago","chromium","Fri Aug 08 16:16:02 GMT-03:00 2025","broken","Fri Aug 08 16:17:02 GMT-03:00 2025","Gestión de Cupones > DNIsPago","","",""
"","9975","Registro exitoso","chromium","Fri Aug 08 16:27:07 GMT-03:00 2025","passed","Fri Aug 08 16:27:17 GMT-03:00 2025","Registro de usuario","","",""
"Verifica que un encargado pueda agregar un vendedor existente a un grupo y reciba confirmación de éxito","14402","Puede agregar un vendedor existente al grupo y ver confirmación","chromium","Fri Aug 08 16:20:26 GMT-03:00 2025","passed","Fri Aug 08 16:20:40 GMT-03:00 2025","Gestión de Grupos de Vendedores","","",""
"","6902","Debe mostrar error si no se ingresa el email","chromium","Fri Aug 08 16:26:17 GMT-03:00 2025","passed","Fri Aug 08 16:26:24 GMT-03:00 2025","Tests del login","","",""
"Verifica que un encargado pueda eliminar un supervisor existente y recibir confirmación de la operación","11791","Puede eliminar un supervisor existente y ver confirmación","chromium","Fri Aug 08 16:26:05 GMT-03:00 2025","passed","Fri Aug 08 16:26:17 GMT-03:00 2025","Gestión de Roles > Gestión de Supervisores","","",""
"Verifica que un encargado pueda crear un nuevo cupón DNI gratuito y recibir confirmación de éxito","13391","Puede crear un nuevo cupón DNI y ver confirmación","chromium","Fri Aug 08 16:13:11 GMT-03:00 2025","passed","Fri Aug 08 16:13:25 GMT-03:00 2025","Gestión de Cupones > DNIs","","",""
"Verifica que un encargado pueda modificar el nombre de un grupo de vendedores y reciba confirmación de éxito","11670","Puede modificar el nombre del grupo de vendedores y ver confirmación","chromium","Fri Aug 08 16:20:02 GMT-03:00 2025","passed","Fri Aug 08 16:20:13 GMT-03:00 2025","Gestión de Grupos de Vendedores","","",""
"Verifica que un encargado pueda eliminar un grupo de cupones DNIsPago y reciba confirmación de éxito","11578","Puede eliminar un grupo de cupones DNIsPago y ver confirmación","chromium","Fri Aug 08 16:24:18 GMT-03:00 2025","passed","Fri Aug 08 16:24:30 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsPago","","",""
"Verifica que un encargado pueda editar un cupón QR Pago existente y recibir confirmación de la modificación","11722","Puede editar un cupón QR Pago y ver confirmación","chromium","Fri Aug 08 16:19:20 GMT-03:00 2025","passed","Fri Aug 08 16:19:32 GMT-03:00 2025","Gestión de Cupones > QR's Pago","","",""
"","7772","Error cuando no se ingresa contraseña","chromium","Fri Aug 08 16:27:33 GMT-03:00 2025","passed","Fri Aug 08 16:27:41 GMT-03:00 2025","Registro de usuario","","",""
"","7870","Debe mostrar error si la contraseña es correcta pero el email incorrecto","chromium","Fri Aug 08 16:26:46 GMT-03:00 2025","passed","Fri Aug 08 16:26:54 GMT-03:00 2025","Tests del login","","",""
"Verifica que un encargado pueda agregar un nuevo supervisor al sistema y recibir confirmación de éxito","10773","Puede agregar un nuevo supervisor y ver confirmación","chromium","Fri Aug 08 16:25:43 GMT-03:00 2025","passed","Fri Aug 08 16:25:53 GMT-03:00 2025","Gestión de Roles > Gestión de Supervisores","","",""
"Verifica que se muestre un mensaje de error cuando se intenta crear un cupón QR Pago sin precio o con precio cero","14478","Muestra error cuando no se ingresa un precio para el cupón QR Pago","chromium","Fri Aug 08 16:18:50 GMT-03:00 2025","passed","Fri Aug 08 16:19:05 GMT-03:00 2025","Gestión de Cupones > QR's Pago","","",""
"Verifica que un encargado pueda modificar el nombre de un grupo de cupones DNI y reciba confirmación de éxito","12295","Puede modificar el nombre del grupo de cupones DNI y ver confirmación","chromium","Fri Aug 08 16:22:05 GMT-03:00 2025","passed","Fri Aug 08 16:22:18 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","","",""
"Verifica que un encargado pueda crear un grupo de vendedores seleccionando varios y recibiendo confirmación de éxito","18763","Puede crear un grupo de vendedores y ver confirmación","chromium","Fri Aug 08 16:19:43 GMT-03:00 2025","passed","Fri Aug 08 16:20:02 GMT-03:00 2025","Gestión de Grupos de Vendedores","","",""
"Verifica que un encargado pueda crear un nuevo cupón QR y recibir confirmación de éxito","16474","Puede crear un nuevo cupón QR y ver confirmación","chromium","Fri Aug 08 16:17:38 GMT-03:00 2025","passed","Fri Aug 08 16:17:55 GMT-03:00 2025","Gestión de Cupones > QR's","","",""
"Verifica que un encargado pueda eliminar un canjeador existente y recibir confirmación de la operación","12199","Puede eliminar un canjeador existente y ver confirmación","chromium","Fri Aug 08 16:25:30 GMT-03:00 2025","passed","Fri Aug 08 16:25:43 GMT-03:00 2025","Gestión de Roles > Gestión de Canjeadores","","",""
"","7612","Debe mostrar error si no se ingresa la contraseña","chromium","Fri Aug 08 16:26:24 GMT-03:00 2025","passed","Fri Aug 08 16:26:32 GMT-03:00 2025","Tests del login","","",""
"Verifica que se muestre un error si no se ingresa nombre al modificar el grupo de cupones DNI","12865","Muestra error si no se ingresa nombre al modificar grupo de cupones DNI","chromium","Fri Aug 08 16:21:52 GMT-03:00 2025","passed","Fri Aug 08 16:22:05 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsFree","","",""
"Verifica que se muestre un error si no se ingresa nombre al modificar el grupo de cupones DNIsPago","13672","Muestra error si no se ingresa nombre al modificar grupo de cupones DNIsPago","chromium","Fri Aug 08 16:23:16 GMT-03:00 2025","passed","Fri Aug 08 16:23:30 GMT-03:00 2025","Gestion de Grupos de Cupones > Grupo DNIsPago","","",""
